timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-13T09:15:15,codecarbon,beba0aaa-e920-4d2f-94ad-2f0fcd13d696,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,15.036630099988542,0.0012572668376182,8.361360419574079e-05,390.0,12.114740031972795,20.0,0.0016282464575012,5.0585318246000426e-05,8.342584277787763e-05,0.0017622576185251,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:15:20,codecarbon,beba0aaa-e920-4d2f-94ad-2f0fcd13d696,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,20.049087699968368,0.001676385238357,8.36140408702855e-05,390.0,12.100104828331872,20.0,0.0021710533541733,6.742699838600038e-05,0.0001112377577778,0.0023497181103372,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:31:59,codecarbon,1187fcff-19ab-4259-9c19-dc1936363fe3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.008044900023378,0.0004187194962277,8.360937343549633e-05,390.0,12.079172554993995,20.0,0.0005423127125007,1.67975134379994e-05,2.7791138333527164e-05,0.0005869013642722,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:32:04,codecarbon,1187fcff-19ab-4259-9c19-dc1936363fe3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.02785870002117,0.0008384003548204,8.360711692304917e-05,390.0,12.08400295718536,20.0,0.0010858671958315,3.364002691199925e-05,5.564300666640823e-05,0.0011751502294099,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:32:09,codecarbon,1187fcff-19ab-4259-9c19-dc1936363fe3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,15.039673599996604,0.0012574359321743,8.360792698151453e-05,390.0,12.082188521897994,20.0,0.0016285872958319,5.045448480799943e-05,8.345285055499213e-05,0.0017624946311949,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:32:14,codecarbon,1187fcff-19ab-4259-9c19-dc1936363fe3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,20.051439200062305,0.0016764781601804,8.360886934117009e-05,390.0,12.085370543415854,20.0,0.0021713125849879,6.72733871520002e-05,0.0001112623827771,0.0023498483549171,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:33:20,codecarbon,1cfa8f5d-782d-4f54-88c3-3807f42ade7d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.007874400005676,0.0004186679067138,8.360191835349266e-05,390.0,12.071800403223229,20.0,0.0005422542666764,1.678529120600035e-05,2.7789495555528752e-05,0.0005868290534379,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:33:25,codecarbon,1cfa8f5d-782d-4f54-88c3-3807f42ade7d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,10.022966100019405,0.0008380200081516,8.360998129585945e-05,390.0,12.122436292867633,20.0,0.0010853339250112,3.3666693600000255e-05,5.5616494999655215e-05,0.0011746171136108,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:33:30,codecarbon,1cfa8f5d-782d-4f54-88c3-3807f42ade7d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,15.039972300059162,0.0012575027980853,8.361071237347939e-05,390.0,12.09701559339383,20.0,0.0016286128733375,5.051865152600095e-05,8.345682944378092e-05,0.0017625883543072,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
2025-05-13T09:33:35,codecarbon,1cfa8f5d-782d-4f54-88c3-3807f42ade7d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,20.056815700023435,0.0016769774191261,8.361134908988394e-05,390.0,12.095781871088857,20.0,0.0021718815516738,6.736866500599986e-05,0.0001112979283329,0.0023505481450128,India,IND,west bengal,,,Windows-11-10.0.22631-SP0,3.12.7,3.0.1,12,AMD Ryzen 5 5600X 6-Core Processor,1,1 x NVIDIA GeForce GTX 1070,88.3693,22.5643,63.90738296508789,machine,N,1.0
